TRAPCode,TopoID,GC,Source,NameTopo,Type,LandUseAround,LanduseOn,LandUseSource,Length,Width,Height,ElevationTopo,Condition,Principal,When,OtherSource,ArcheoPotential,RTNumber,RTPosition,RTDescription,Description,Leader,Datum,SurfaceMaterial,SampleCollected,uuid,2017identifier,createdBy,Latitude,Longitude,Northing,Easting,MapSymbol,Source_1,Note_1,GC_1,Mound_ID,DateCompl0,y_proj,x_proj
9037,200147,OK,Legacy verification,,Burial Mound,Pasture,Pasture,Photo,32,32,2.5,,1 - pristine,None,not applicable,unknown,1 - full,0,,,big stones on the top,BW,Sun Oct 24 00:00:00 CEST 2010,No,No,1.00E+18,202972,Stephanie Black,42.34566197,26.36518033,4688350.965,447711.133,Hairy brown circle,TopomapRU 1:50k,3,No,9037,Thu Sep 21 00:00:00 CEST 2017,42.34585571,26.36559677
9038,0,OK,Survey,,Burial Mound,Pasture,Scrub,Photo,30,30,2,,4 - seriously damaged,Looting,recent,unknown,4 - minimal,1,top,,"overgrown with trees, stratigraphy uncovered",BW,Sun Oct 24 00:00:00 CEST 2010,No,No,,, ,,,,, , , , ,0,,42.34554291,26.36583328
9039,0,OK,Legacy verification,,Extinct Burial Mound,Annual agriculture,Annual agriculture,Photo,15,20,0.4,,5 - extinct or near extinct,Agriculture,annual,unknown,5 - none or nearly none,0,,,entirely ploughed over,BW,Sun Oct 24 00:00:00 CEST 2010,pottery,Yes,1.00E+18,202973,Stephanie Black,42.34493137,26.3669494,4688268.756,447856.2446,Hairy brown circle,TopomapRU 1:50k,2,No,9039,Thu Sep 21 00:00:00 CEST 2017,42.34521866,26.36691093
9040,200148,OK,Survey,,Burial Mound?,Annual agriculture,Pasture,Photo,30,30,2.2,,5 - extinct or near extinct,Agriculture,annual,building activity,5 - none or nearly none,0,,,"dirt road leads right next to the mound, fence at the bottom",BW,Sun Oct 24 00:00:00 CEST 2010,No,No,,, ,,,,, , , , ,0,,42.34514999,26.36754417
9041,0,OK,Survey,,Burial Mound?,Annual agriculture,Annual agriculture,Photo,20,20,0.5,,5 - extinct or near extinct,Agriculture,annual,unknown,5 - none or nearly none,1,top,,"stone concentration, the largest one is 1 x 0.8 meters",BW,Sun Oct 24 00:00:00 CEST 2010,stones,No,,, ,,,,, , , , ,0,,42.3432579,26.36972046
9042,0,OK,Survey,,Surface Scatter,Pasture,Pasture,Photo,50,50,0,,4 - seriously damaged,Construction,last year,unknown,4 - minimal,,,,Stones and bones all around the surface (50 meters),BW,Sun Oct 24 00:00:00 CEST 2010,"bones, worked stones",No,,, ,,,,, , , , ,0,,42.34305573,26.36882782
9043,200143,OK,Legacy verification,,Burial Mound,Pasture/Scrub,Scrub,Photo,30,30,1.5,,4 - seriously damaged,Looting,last year,unknown,4 - minimal,1,top,,a large RT on the top,BW,Sun Oct 24 00:00:00 CEST 2010,No,No,1.00E+18,202967,Stephanie Black,42.34704451,26.34071124,4688519.81,445696.8427,Hairy brown circle,TopomapRU 1:50k,1,No,9043,Thu Sep 21 00:00:00 CEST 2017,42.34687424,26.34098053
9044,200142,OK,Legacy verification,,Burial Mound,Scrub,Pasture,Photo,50,60,6,,4 - seriously damaged,Looting,yesterday,unknown,2 - good,2,"top, S",,"large structure inside, burial chamber opened and looted",BW,Sun Oct 24 00:00:00 CEST 2010,dromos,No,1.00E+18,202966,Stephanie Black,42.34799262,26.33885112,4688626.274,445544.4498,Hairy brown circle,TopomapRU 1:50k,1,No,9044,Thu Sep 21 00:00:00 CEST 2017,42.34799957,26.33964157
9045,0,OK,Survey,,Burial Mound,Scrub,Scrub,Photo,35,25,2,,5 - extinct or near extinct,Looting,last year,unknown,4 - minimal,1,top,,huge stones around,BW,Sun Oct 24 00:00:00 CEST 2010,stones,No,,, ,,,,, , , , ,0,,42.34783554,26.34002876
9046,0,OK,Survey,,Burial Mound?,Forest,Forest,Survey,10,10,1,,5 - extinct or near extinct,Looting,last year,unknown,4 - minimal,1,top,,on the ridge between larger mounds,BW,Sun Oct 24 00:00:00 CEST 2010,No,No,,, ,,,,, , , , ,0,,42.34775543,26.34017944
9047,0,OK,Survey,,Well,Pasture/Scrub,Pasture/Scrub,Survey,Nodata,unknown,NA,,4 - seriously damaged,Looting,last decade,unknown,4 - minimal,0,,,Stone structure - well?,BW,Sun Oct 24 00:00:00 CEST 2010,stones,No,,, ,,,,, , , , ,0,,42.34789658,26.33988762
9048,200310,OK,Legacy verification,,Extinct Burial Mound,Annual agriculture,Annual agriculture,Photo,25,25,0.8,,5 - extinct or near extinct,Agriculture,annual,unknown,5 - none or nearly none,0,,,entirely ploughed over,BW,Sun Oct 24 00:00:00 CEST 2010,No,No,1.00E+18,204729,Briana Barton,42.3261601,26.30564936,4686223.866,442789.9858,Hairy brown circle,TopomapRU 1:50k,2,No,9048,Sat Sep 23 00:00:00 CEST 2017,42.32620621,26.30560303
9049,200312,OK,Legacy verification,,Burial Mound,Annual agriculture,Annual agriculture,Photo,50,50,3,,4 - seriously damaged,Agriculture,annual,unknown,4 - minimal,0,,,entirely ploughed over,BW,Sun Oct 24 00:00:00 CEST 2010,No,No,1.00E+18,204730,Briana Barton,42.32409426,26.30405892,4685995.555,442657.0674,Hairy brown circle,TopomapRU 1:50k, ,No,9049,Sat Sep 23 00:00:00 CEST 2017,42.32414246,26.30409622
9050,200311,OK,Legacy verification,,Burial Mound,Annual agriculture,Annual agriculture,Photo,40,40,1.5,,4 - seriously damaged,Agriculture,annual,unknown,5 - none or nearly none,0,,,entirely ploughed over,BW,Sun Oct 24 00:00:00 CEST 2010,No,No,1.00E+18,204731,Briana Barton,42.32219515,26.30362249,4685784.979,442619.3812,Hairy brown circle,TopomapRU 1:50k,3,No,9050,Sat Sep 23 00:00:00 CEST 2017,42.3223877,26.30348778
9051,200346,OK,Legacy verification,,Burial Mound,Pasture,Pasture,Photo,Nodata,unknown,NA,,1 - pristine,None,not applicable,no,1 - full,0,,,pasture,BW,Sun Oct 24 00:00:00 CEST 2010,No,No,1.00E+18,204784,Briana Barton,42.28355428,26.33477241,4681473.938,445152.5767,Hairy brown circle,TopomapRU 1:50k,2,No,9051,Sat Sep 23 00:00:00 CEST 2017,42.28376007,26.3349247
9052,200347,OK,Legacy verification,,Extinct Burial Mound,Annual agriculture,Annual agriculture,Survey,Nodata,unknown,NA,,5 - extinct or near extinct,Agriculture,annual,unknown,5 - none or nearly none,0,,,entirely ploughed over,BW,Sun Oct 24 00:00:00 CEST 2010,pottery,Yes,1.00E+18,204783,Briana Barton,42.28213162,26.33990963,4681312.676,445574.9137,Hairy brown circle,TopomapRU 1:50k,1,No,9052,Sat Sep 23 00:00:00 CEST 2017,42.28260803,26.33891869
9053,0,OK,Survey,,Surface Scatter,Pasture,Pasture,Survey,Nodata,unknown,NA,,3 - damaged,Looting,last decade,unknown,2 - good,0,,,pasture,BW,Sun Oct 24 00:00:00 CEST 2010,"pottery, lithics",Yes,,, ,,,,, , , , ,0,,42.27594757,26.32711411
9054,200359,OK,Legacy verification,,Burial Mound,Annual agriculture,Pasture,Photo,35,35,3.5,170.4,2 - minor damage,Agriculture,annual,unknown,1 - full,0,,, ,BW,Mon Oct 25 00:00:00 CEST 2010,No,No,1.00E+18,204747,Briana Barton,42.31305089,26.44191564,4684685.646,454007.9407,Hairy black diamond with a dot inside,TopomapRU 1:50k,4,No,9054,Sat Sep 23 00:00:00 CEST 2017,42.31322479,26.4418869
9055,0,OK,Legacy verification,,Burial Mound,Annual agriculture,Pasture/Scrub,Photo,35,35,2,,2 - minor damage,None,not applicable,unknown,2 - good,0,,,overgrown,BW,Mon Oct 25 00:00:00 CEST 2010,No,No,1.00E+18,204748,Briana Barton,,,,,Hairy brown circle,TopomapRU 1:50k,1,No,9055,Sat Sep 23 00:00:00 CEST 2017,42.31332016,26.44235992
9056,0,OK,Survey,,Burial Mound,Annual agriculture,Annual agriculture,Photo,20,20,1.2,,4 - seriously damaged,Agriculture,annual,unknown,5 - none or nearly none,0,,,entirely ploughed over,BW,Mon Oct 25 00:00:00 CEST 2010,No,No,,, ,,,,, , , , ,0,,42.31355286,26.44171715
9057,0,OK,Survey,,Extinct Burial Mound,Annual agriculture,Annual agriculture,Photo,20,20,0.5,,5 - extinct or near extinct,Agriculture,annual,unknown,5 - none or nearly none,0,,,entirely ploughed over,BW,Mon Oct 25 00:00:00 CEST 2010,No,No,,, ,,,,, , , , ,0,,42.31367111,26.44205284
9058,0,OK,Survey,,Extinct Burial Mound,Annual agriculture,Annual agriculture,Photo,28,30,0.5,,5 - extinct or near extinct,Agriculture,annual,unknown,5 - none or nearly none,0,,,entirely ploughed over,BW,Mon Oct 25 00:00:00 CEST 2010,No,No,,, ,,,,, , , , ,0,,42.31388855,26.44168663
9059,0,OK,Survey,,Extinct Burial Mound,Annual agriculture,Annual agriculture,Photo,35,35,0.5,,5 - extinct or near extinct,Agriculture,annual,unknown,5 - none or nearly none,0,,,entirely ploughed over,BW,Mon Oct 25 00:00:00 CEST 2010,No,No,,, ,,,,, , , , ,0,,42.31373978,26.44255638
9060,200360,OK,Survey,,Burial Mound,Annual agriculture,Pasture,Photo,30,30,4,,3 - damaged,Looting,last decade,road next to it,3 - impaired,0,top,,dirt road next to it,BW,Mon Oct 25 00:00:00 CEST 2010,No,No,,, ,,,,, , , , ,0,,42.31329346,26.4415493
9061,200364,OK,Legacy verification,Jankova mogila,Burial Mound,Annual agriculture,Pasture,Photo,40,50,1,179.2,5 - extinct or near extinct,road,recent,agriculture ,5 - none or nearly none,0,,,"road on the top in the middle, annualy ploughed over",BW,Mon Oct 25 00:00:00 CEST 2010,No,No,1.00E+18,204749,Briana Barton,,,,,Hairy black diamond with a dot inside,TopomapRU 1:50k,1,No,9061,Sat Sep 23 00:00:00 CEST 2017,42.30789185,26.44945908
9062,0,OK,Survey,,Extinct Burial Mound,Annual agriculture,Annual agriculture,Photo,35,35,1,,5 - extinct or near extinct,Agriculture,annual,unknown,5 - none or nearly none,0,,,entirely ploughed over,BW,Mon Oct 25 00:00:00 CEST 2010,pottey,Yes,,, ,,,,, , , , ,0,,42.29011536,26.48259735
9063,0,OK,Survey,,Burial Mound?,Annual agriculture,Annual agriculture,Photo,40,35,1,,5 - extinct or near extinct,Agriculture,annual,unknown,5 - none or nearly none,0,,,entirely ploughed over,BW,Mon Oct 25 00:00:00 CEST 2010,No,No,,, ,,,,, , , , ,0,,42.28964233,26.48257828
9064,200367,OK,Legacy verification,Lozenska mogila,Burial Mound,Annual agriculture,Pasture,Photo,60,60,6,181.3,2 - minor damage,Looting,last decade,unknown,3 - impaired,2,"top, W of mound",,Lozenska mogila,BW,Mon Oct 25 00:00:00 CEST 2010,No,No,1.00E+18,204770,Briana Barton,42.28897378,26.48404249,4681990.336,457463.4452,Hairy black diamond with a dot inside,TopomapRU 1:50k,5,No,9064,Sat Sep 23 00:00:00 CEST 2017,42.28920364,26.48411751
9065,200358,OK,Legacy verification,,Burial Mound,Pasture,Pasture,Photo,40,30,2,,4 - seriously damaged,road,last decade,unknown,4 - minimal,0,,,dirt road around took half of the mound,BW,Mon Oct 25 00:00:00 CEST 2010,pottery,Yes,1.00E+18,204751,Briana Barton,42.30955337,26.43638421,4684300.302,453549.5188,Hairy brown circle,TopomapRU 1:50k,1,No,9065,Sat Sep 23 00:00:00 CEST 2017,42.30959702,26.4362812
