"","TRAP","EKATTE","Name_en","distToTown","azimuth"
"88",9145,"73328","Trankovo",843.443363224631,15.9425145236381
"89",9146,"73328","Trankovo",691.358800968539,19.8141011500381
"90",9147,"73328","Trankovo",656.951610528637,15.1173511653185
"91",9148,"73328","Trankovo",667.306072380133,11.0597492423534
"92",9149,"73328","Trankovo",624.619201348425,5.44269532281901
"93",9150,"73328","Trankovo",744.07862871284,6.48095347677622
"94",9153,"73328","Trankovo",914.570993106136,8.22232103224271
"95",9154,"73328","Trankovo",1149.21416655792,70.9883934346065
"96",9262,"11661","Vodenichane",1558.86117085256,354.360978047641
"97",9263,"11661","Vodenichane",1575.03307748755,351.991072047963
"98",9266,"11661","Vodenichane",1575.87145490848,344.791992561292
"99",9267,"11661","Vodenichane",1585.10207556244,343.811194489278
"100",9268,"11661","Vodenichane",1633.08936310763,343.578211161211
"101",9269,"11661","Vodenichane",1625.60511894806,342.144863741651
"102",9270,"11661","Vodenichane",1679.01468947678,342.963046273356
"103",9275,"69660","Straldzha",4350.59383913814,20.3644464300657
"104",9277,"69660","Straldzha",4418.92473065941,20.0964163640665
"105",9278,"69660","Straldzha",4341.80017245437,18.3526802272773
"106",9129,"73328","Trankovo",1297.6771051283,13.5680034717238
"107",9357,"06001","Boyanovo",1812.44319728757,121.751211626671
"108",9362,"06001","Boyanovo",2485.7434234213,252.698727707389
"109",9363,"69883","Stroyno",521.115886349578,48.1363569060281
"110",9364,"69883","Stroyno",628.673406950288,43.7044662350389
"111",9366,"29516","Zhrebino",4046.66333098175,17.1199907829265
"112",9373,"29516","Zhrebino",1468.14108008426,260.27299050336
"113",9376,"29516","Zhrebino",2705.95104585825,224.746225740194
"114",9380,"36909","Kirilovo",2254.50803881042,242.478381812826
"115",9381,"36909","Kirilovo",2254.17899953487,241.384713755604
"116",9379,"36909","Kirilovo",4045.46913570563,250.379405837087
"117",9383,"36909","Kirilovo",1934.29012781649,242.139995120359
"118",9386,"36909","Kirilovo",1302.52035171797,231.99172578576
"119",9389,"36909","Kirilovo",1247.26065129719,148.926456932438
"120",9390,"36909","Kirilovo",1283.96100098161,150.962047091765
"121",9391,"36909","Kirilovo",1398.49892975375,150.195924521951
"122",9392,"36909","Kirilovo",1386.77701350883,156.243137825301
"123",9443,"32576","Izgrev",2273.4422911484,170.71639267624
"124",9444,"32576","Izgrev",2320.52082355941,170.942663042939
"125",9447,"32576","Izgrev",4044.8569430815,172.7297048115
"126",6011,"06001","Boyanovo",1808.79697478474,122.06068609695
"127",6013,"06001","Boyanovo",1958.53678804738,81.5954111520197
"128",6023,"69883","Stroyno",2120.88433651735,208.192461263294
"129",6024,"69883","Stroyno",2141.37789755775,212.198795074579
"130",7006,"06001","Boyanovo",4830.23089098881,208.47362602903
"131",8008,"06001","Boyanovo",2802.41821241055,207.539570132811
"132",8010,"06001","Boyanovo",3203.02420325115,216.564719827173
"133",8033,"69883","Stroyno",1089.00776964062,336.651353769266
"134",8037,"05520","Borisovo",995.416953774267,42.6298224217941
"135",8038,"05520","Borisovo",1193.13310923235,58.3255704014435
"136",8030,"06001","Boyanovo",1784.36379728223,106.566515225069
"137",8031,"06001","Boyanovo",1766.54725804773,113.099727797976
"138",8032,"06001","Boyanovo",1775.88174229755,116.077641220709
"139",8045,"05520","Borisovo",719.04577364745,324.90916457926
"140",8046,"05520","Borisovo",710.625785242317,326.954741410088
"141",8048,"05520","Borisovo",439.786472927129,221.850478772128
"142",8050,"05520","Borisovo",940.622631196559,184.385370843367
"143",8360,"44118","Lozenets",2618.0331530866,270.335874478439
"144",8361,"44118","Lozenets",2403.70303496616,273.204963642257
"145",8145,"69660","Straldzha",2471.5611676428,272.448325479468
"146",8146,"69660","Straldzha",2266.75227854824,271.331128197034
"147",8362,"44118","Lozenets",1616.78678195201,268.928032138825
"148",8363,"44118","Lozenets",1551.48866551487,264.145786445744
"149",8147,"69660","Straldzha",3800.49958473793,276.513395060548
"150",8364,"44118","Lozenets",2254.67120928681,264.582544234604
"151",8365,"44118","Lozenets",2311.38251972431,264.360088275486
"152",8366,"44118","Lozenets",2375.65486303992,263.54084879738
"153",8148,"69660","Straldzha",3291.76410454992,275.549695462578
"154",8367,"44118","Lozenets",2407.85220427899,261.561348904063
"155",8368,"44118","Lozenets",2396.9417025554,264.792540248272
"156",8369,"44118","Lozenets",2504.39903714083,264.456091561917
"157",8370,"44118","Lozenets",2489.58125464707,264.391720866628
"158",8371,"44118","Lozenets",2540.61985398706,262.823028706395
