TRAP,Source,Type,LU_Around,LU_Top,DiameterMax,HeightMax,Condition,PrincipalSourceOfImpact,distTown,elevAster,slopeAster,aspectAster,prom250mbuff,TPI,TRI,rough,latitude,longitude
8727,Legacy verification,Burial Mound,Pasture,Other,16,2.2,4,Looting,3196.1275759151363,108.8069076538086,4.449027994732942,333.98917850553903,43.27,0.2699756622314453,1.8112926483154297,5.8717193603515625,42.13463869999997,26.567076870000005
8728,Survey,Burial Mound,Pasture,Other,18,1.8,2,Looting,3185.938221505733,107.08029174804688,4.970923336262425,351.7985950608792,59.14,0.4813375473022461,2.062993049621582,5.8865966796875,42.13475867000001,26.56746275
8729,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,30,2.4,2,Agriculture,3076.3533815860787,107.05067443847656,3.1082885131219933,306.94792312711564,69.57,-2.86102294921875e-6,1.0035467147827148,4.006996154785156,42.13614812999996,26.571123440000008
8730,Legacy verification,Burial Mound,Annual agriculture,Pasture,25,3,2,Other,1789.6699768365088,152.8509979248047,4.660054447144473,9.71967677276143,51.09,0.06695556640625,1.9776077270507813,5.4790496826171875,42.141405170000034,26.610896330000003
8731,Legacy verification,Burial Mound,Annual agriculture,Scrub,30,3.5,3,Looting,365.8288009078012,150.59619140625,4.416987969621203,317.421635426658,35.87,0.5613193511962891,1.6155452728271484,6.105010986328125,42.14005541999999,26.62864767
8570,Legacy verification,Burial Mound,Annual agriculture,Scrub,42,0.5,4,Anthropogenic,258.33609180679906,232,0.14268978473488236,304.1218715568852,31.39,0.04741859436035156,0.04741859436035156,0.361785888671875,42.118146666671024,26.704064999999982
8733,Legacy verification,Burial Mound,Annual agriculture,Pasture,35,0.7,4,Agriculture,285.89364140256157,232,0.1670407066986542,233.47167691647755,82.14,0.0536651611328125,0.0536651611328125,0.39593505859375,42.11766000000434,26.704163333333312
8571,Survey,Extinct Burial Mound,Annual agriculture,Annual agriculture,32,0.2,5,Agriculture,320.42782378265304,232.60830688476562,1.1809816952792964,251.15681396873106,83.81,0.2042999267578125,0.4040069580078125,1,42.11790000000434,26.704741666666653
8734,Survey,Burial Mound,Annual agriculture,Annual agriculture,25,1.1,3,Agriculture,323.158012260745,232,0.8793488261928543,233.1374692033797,27.01,-0.2698936462402344,0.28302001953125,1.02587890625,42.117576666671006,26.70460499999998
8572,Legacy verification,Burial Mound,Pasture,Pasture,41,2.2,2,Post-depositional,512.7448600474524,233.93739318847656,1.6106002793622158,169.1416100188088,46.57,0.16282272338867188,0.66910552978515625,1.9668426513671875,42.125568333337675,26.706368333333312
