TRAP,Source,Type,LU_Around,LU_Top,DiameterMax,HeightMax,Condition,PrincipalSourceOfImpact,distTown,elevAster,slopeAster,aspectAster,prom250mbuff,TPI,TRI,rough,northing,easting
9086,Legacy verification,Burial Mound,Annual agriculture,Scrub,15,2,5,Agriculture,410.3399962338773,141.8936767578125,2.6321454939649893,292.19047723818335,93.14,0.023548126220703125,0.8562812805175781,3.033172607421875,4698052.7742,448139.9492
9174,Legacy verification,Burial Mound,Annual agriculture,Scrub,35,2.5,3,Agriculture,498.8317090138132,184.1337432861328,2.742347815153153,71.2689191964016,83.27,-0.3796215057373047,0.8950519561767578,2.9795989990234375,4702877.9456,451410.2142
9171,Legacy verification,Burial Mound,Pasture,Scrub,40,2,4,Agriculture,313.47197809721627,191.20848083496094,2.1097687043151048,127.07292785096108,69.6,-0.31635093688964844,0.6826381683349609,3.0162506103515625,4702941.2102,451225.2364
9170,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,50,0.8,5,Agriculture,80.46844016747687,200.9236602783203,1.3278069565036426,190.1746177077155,93.14,0.28498077392578125,0.55377197265625,1.761444091796875,4703083.4423,450980.9406
9175,Legacy verification,Burial Mound,Annual agriculture,Scrub,40,5,1,Agriculture,74.53214987883504,198.24310302734375,4.680018588958722,87.95989094098617,96.03,-0.4168128967285156,1.5211563110351562,4.8863525390625,4703804.8661,450863.4715
9177,Legacy verification,Burial Mound,Pasture,Pasture,45,1.7,4,Looting,596.7640182491593,230.97647094726562,3.8075802091575666,212.80467366784464,75.09,0.37482261657714844,1.508687973022461,4.914947509765625,4704401.7317,449710.8847
9180,Legacy verification,Burial Mound,Pasture,Scrub,40,3,2,Agriculture,345.82170743400604,197.35472106933594,2.647281428299272,174.40799426561432,61.01,-0.14574813842773438,1.057708740234375,3.00213623046875,4704691.2029,452435.1286
9179,Legacy verification,Burial Mound,Pasture,Pasture,50,5,2,Looting,276.4179957619562,194.43670654296875,1.9326403226306614,119.04510240032619,6.09,0.045490264892578125,0.609100341796875,2.163909912109375,4704611.0462,452505.4395
9181,Legacy verification,Burial Mound,Pasture,Scrub,60,4,2,Anthropogenic,142.69967249894225,150.04261779785156,2.967159768419866,131.8379172852324,73.09,0.13465499877929688,1.0969276428222656,3.8802337646484375,4704824.5349,456789.8723
9178,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,50,0.4,5,Agriculture,2387.971297137942,160,0.284656330305479,233.9394638667012,14.86,0.09122467041015625,0.09122467041015625,0.5838165283203125,4701374.2753,453138.4639
9356,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,20,0.5,4,Agriculture,868.6576335819301,154.31480407714844,1.3902364484932908,273.5111704708763,30.32,-0.18807411193847656,0.42645835876464844,1.3297271728515625,4692564.7747,452624.6711
9301,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,25,0.5,5,Agriculture,2370.5312117552053,162.82952880859375,2.4544424034423833,128.17677465221635,5.47,0.3137378692626953,0.8997173309326172,3.1805572509765625,4711422.5596,465672.2654
9222,Legacy verification,Burial Mound,Pasture,Pasture,20,2,3,Looting,2238.0116845883044,168.0752410888672,2.5088052186408234,265.2499991821936,53.82,0.37752342224121094,0.8769397735595703,2.6335296630859375,4706913.7014,464359.2803
9225,Legacy verification,Burial Mound,Pasture,Pasture,15,1,2,None,2220.1559494239423,167.31239318847656,4.360649273488331,336.5196189957331,68.59,0.1345996856689453,1.7791805267333984,5.7377166748046875,4706967.8992,464401.2963
9226,Legacy verification,Burial Mound,Pasture,Pasture,20,1.5,3,Looting,2148.9661994430435,163.0208740234375,3.014432639235488,285.69281141383965,93.91,0.39392662048339844,0.9619312286376953,3.3565826416015625,4706931.7845,464229.9742
9220,Legacy verification,Burial Mound,Pasture,Pasture,30,3,1,Construction,1297.5887811448365,185,0.8043470973846251,214.77584122870152,87.1,0.2988319396972656,0.2988319396972656,1.210205078125,4706384.6865,465196.2761
9259,Legacy verification,Burial Mound,Pasture,Pasture,30,2,5,Construction (military activity),1113.5621817030303,160.76226806640625,3.0366414314510495,187.8144567342015,67.88,1.1332817077636719,1.2989578247070312,3.31597900390625,4706178.78,461506.6973
9258,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,20,2.5,5,Agriculture,1258.265798084683,147.95169067382812,1.9396223569724789,343.5505535971834,58.12,0.1684589385986328,0.8068904876708984,2.4495849609375,4705892.3787,462161.0841
9257,Legacy verification,Burial Mound,Annual agriculture,Scrub,30,2.5,3,Looting,1209.331910097002,149.9487762451172,1.1156109011896764,331.4237326791317,89.09,0.5182056427001953,0.5438175201416016,1.48760986328125,4705829.4172,462153.1007
9215,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,25,1,5,Agriculture,581.9726652456028,172,1.1058223166753784,212.71401567447333,18.64,-0.3070793151855469,0.5342750549316406,1.7498931884765625,4706327.9149,467430.9085
9190,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,35,1.5,5,Looting,1471.7928741457638,198.67684936523437,2.150718690549707,317.5629379737244,92.09,0.4432220458984375,0.8297920227050781,3.1181488037109375,4705830.0016,468710.4376
9191,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,40,2,5,Agriculture,1595.6430897917564,182.93736267089844,1.2766721701838035,47.687091611590844,64.49,0.4218273162841797,0.46235084533691406,1.7979736328125,4706257.4645,468729.8019
9192,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,40,1,5,Agriculture,1710.090645391935,169.5404510498047,4.0491791678794335,308.83882657718186,82.37,-0.15597915649414063,1.5113372802734375,5.067535400390625,4706566.4278,468710.7137
9216,Legacy verification,Burial Mound,Annual agriculture,Pasture,49,5,2,Looting,959.39600168613,162.67330932617187,2.574078109455059,187.0514497805904,77.78,0.10925674438476563,1.0270500183105469,2.99664306640625,4706894.8207,467217.75
9193,Legacy verification,Burial Mound,Pasture,Pasture,45,2.5,1,Construction,135.43817715128836,181.36346435546875,2.8131997670913522,354.939053401091,50.72,-0.012361526489257813,1.1794567108154297,3.582916259765625,4706745.962,471224.6816
9218,Legacy verification,Burial Mound,Pasture,Pasture,50,8,3,Looting,2632.4709110666386,123.3485107421875,2.581670496914602,32.23127079055927,62.01,0.05722618103027344,1.039144515991211,3.7853164672851562,4708494.358,465794.6886
9199,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,40,1.5,5,Agriculture,1245.6582093673273,138,2.4934179741408578,60.323571718784606,56.47,0.73435211181640625,0.792022705078125,3.7396240234375,4708678.6025,467968.8237
9195,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,40,1.5,2,Agriculture,966.5851494749403,166.36865234375,4.134043055550896,340.23782565766004,47.83,-0.32651329040527344,1.7265491485595703,5.0997314453125,4709313.1793,470044.5437
9196,Legacy verification,Burial Mound,Pasture,Pasture,35,4,5,Looting,681.4992597029589,168,1.209104074984722,259.75595726938275,27.9,0.4994659423828125,0.4994659423828125,1.46026611328125,4709966.9952,470013.8026
9300,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,40,0.4,5,Agriculture,1016.677928977423,129,0.8622879666201075,186.5862378437193,51.45,-0.21214866638183594,0.3358745574951172,1.0037841796875,4711592.8992,468705.6184
9197,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,25,0.8,5,Agriculture,883.8808672712383,133.37525939941406,1.5398870948494856,145.4363045197635,66.55,-0.076328277587890625,0.59203338623046875,1.9970703125,4711312.8325,468206.122
9198,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,20,1,3,Looting,885.1153567969752,131.76498413085937,1.7344305164659766,176.19112231369957,16.91,-0.13640975952148438,0.7110023498535156,2.150726318359375,4711263.1324,468126.5333
9276,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,25,0.7,5,Agriculture,2010.9618740846095,140,1.1472849791271895,132.1724765867687,16.49,-0.263427734375,0.4788970947265625,1.815826416015625,4712100.0314,473069.4105
9274,Legacy verification,Burial Mound,Annual agriculture,Pasture,45,5,1,None,1847.739161953732,135.73655700683594,2.060762069102758,79.59173605363682,12.86,0.08424949645996094,0.6549396514892578,2.4439697265625,4712041.0437,473246.0381
9279,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,40,2,5,Agriculture,832.0194205572651,131.65054321289062,4.893436621834777,296.3218038418507,70.91,0.21990013122558594,1.5848827362060547,5.8726043701171875,4710929.145,473602.8206
9280,Legacy verification,Burial Mound,Pasture,Pasture,30,5,2,None,955.4276269550944,127.36006164550781,3.3886570109189287,21.69718789067543,52.16,0.044043540954589844,1.4215517044067383,4.002838134765625,4710057.8629,473243.164
9281,Legacy verification,Burial Mound,Pasture,Pasture,40,4,2,Looting,938.4643467342278,130.3297576904297,3.6580381601966137,18.71572195316792,77.09,-0.033885955810546875,1.5156135559082031,4.5293731689453125,4709991.4985,473262.9145
9273,Legacy verification,Burial Mound,Annual agriculture,Scrub,25,2.5,3,Looting,700.5200471077038,138.8096923828125,3.8839920565891815,210.01972627671043,23.27,-0.5464763641357422,1.5281543731689453,5.4381103515625,4709438.1522,475421.7788
9261,Legacy verification,Burial Mound,Annual agriculture,Pasture,35,3,4,Looting,937.5897590792285,140.31137084960937,5.458066869503965,282.5094083631271,19.64,-0.8473567962646484,1.8032054901123047,5.61785888671875,4708820.5592,474778.7204
9264,Legacy verification,Burial Mound,Annual agriculture,Pasture,30,2.5,3,Looting,962.7739115929987,145.4211883544922,3.949715640964023,355.1326705135644,47.29,0.047603607177734375,1.64892578125,5.1353912353515625,4708850.6315,475014.0497
9265,Legacy verification,Burial Mound,Annual agriculture,Pasture,30,2.5,2,Looting,1062.8513008130199,148.57373046875,1.5133680277279995,295.37483237718527,68.12,-0.37546348571777344,0.6394405364990234,1.582000732421875,4708760.2832,475058.2505
9271,Legacy verification,Burial Mound,Pasture,Pasture,20,1,5,Agriculture,1081.5061538647542,147.11038208007812,4.639254648739605,67.53256474940655,97.08,0.1482982635498047,1.5270061492919922,5.1188201904296875,4708853.7906,475282.7826
9272,Legacy verification,Burial Mound,Pasture,Pasture,40,2.5,4,Looting,1430.1647832526926,154.54345703125,3.3379213915625034,44.83216846732133,31.65,0.3088817596435547,1.2338314056396484,4.1792449951171875,4708495.6173,475361.6477
9048,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,25,0.8,5,Agriculture,419.9651058308052,204.61167907714844,2.4033184817588022,132.15117827612272,20.14,0.3889293670654297,0.8304615020751953,3.31951904296875,4686223.9189,442788.9918
9050,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,40,1.5,5,Agriculture,558.1593349460376,196,1.073321490622407,285.72327908572,95.68,0.3838329315185547,0.3838329315185547,0.93817138671875,4685801.2093,442611.2443
9049,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,50,3,5,Agriculture,482.9861065184313,198,1.0614084004818858,206.19145591734707,35.25,0.05406761169433594,0.4264392852783203,1.5875091552734375,4685995.8147,442663.022
9338,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,50,1.2,4,Agriculture,2734.118164718711,165.4440155029297,3.7217956091263096,137.37919104804806,16.55,0.28432655334472656,1.418954849243164,4.993621826171875,4684384.1134,438729.6171
