"","TRAP","Zemlishte","DistanceZemlishte","DirectionToZemlishte","Easting","Northing","Source","Type","LU_Around","LU_Top","DiameterMax","HeightMax","Condition","PrincipalSourceOfImpact","elevAster","slopeAster","aspectAster","prom250mbuff","TPI","TRI","rough"
"22",9825,"Chernozem",312.044335804193,262.074960504102,467848.192780376,4662406.3335039,"Legacy verification","Tell","Pasture","Pasture","100","7","2 - minor damage","Excavation?",110.983108520508,1.44242241319982,203.526799418595,85.25,-0.0574798583984375,0.497323989868164,1.97681427001953
"23",8581,"Melnitsa",5015.71353943379,199.565937922985,465746.812568691,4659910.1800027,"Legacy verification","Burial Mound","Forest","Scrub","25","1.7","3 - damaged","Looting",190.915405273438,3.68516978978746,250.2839380307,18.77,0.443058013916016,1.18607711791992,3.90335083007812
"24",8582,"Chernozem",2409.30582865143,43.6235183153058,465876.908267679,4660619.24030136,"Legacy verification","Burial Mound","Annual agriculture","Pasture","30","1.7","3 - damaged","Looting",222.672805786133,4.45958318428296,298.528620530959,50.72,0.412555694580078,1.51575469970703,5.77473449707031
"25",9827,"Chernozem",949.947825941149,122.819312684452,466740.807767811,4662878.17329589,"Legacy verification","Extinct Burial Mound","Forest","Pasture","30","1","5 - extinct or near extinct","Other (Cut made by a machine. Soil moved to the north and south east. )",180.004043579102,0.474253238779706,336.279545639428,75.9,-0.0489921569824219,0.255363464355469,1.79484558105469
"26",8583,"Chernozem",1805.63835418559,69.4640638616197,465848.234399169,4661729.90110043,"Legacy verification","Burial Mound","Pasture","Annual agriculture","40","5","3 - damaged","Looting",170.491683959961,2.26427803379537,303.892699154037,20.65,-0.647773742675781,0.905864715576172,3.52095031738281
"27",8584,"Chernozem",1798.14160231012,70.999445767338,465838.958062048,4661777.875551,"Legacy verification","Burial Mound","Forest","Scrub","30","4","4 - seriously damaged","Looting",172.397720336914,2.58031779212424,177.576193578862,70.5,0.492458343505859,1.02938842773438,3.42788696289062
"28",8585,"Chernozem",1773.83616815564,71.3324347376629,465858.611159865,4661795.54595946,"Legacy verification","Burial Mound","Forest","Forest","18","1.5","3 - damaged","Looting",172.146484375,2.41493223798082,129.895460426307,7.58,0.643363952636719,1.18787002563477,3.1175537109375
"29",8586,"Chernozem",1753.35625647403,71.3264953723571,465878.071841259,4661801.92891199,"Legacy verification","Burial Mound","Forest","Forest","36","4","3 - damaged","Looting",170.642135620117,4.63434498845084,83.5520426342006,55.8,0.111244201660156,1.47250366210938,4.52586364746094
"30",8587,"Chernozem",1715.73765705932,73.8433681238257,465891.154801874,4661885.88133522,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture","0","0","0 - No observation","Agriculture",167.127044677734,4.18078475855151,35.0827980531182,41.01,0.452695846557617,1.72980308532715,5.5771484375
"31",9828,"Chernozem",706.164189729333,147.011459079907,467154.642557532,4662955.62567064,"Legacy verification","Uncertain Feature","Forest","Pasture","14","2.5","3 - damaged","Looting (Probably treasure hunters trench)",189.03401184082,3.21614803121403,310.049280285808,86.69,0.523599624633789,1.32857704162598,4.61984252929688
